date,location,min,max
2019-11-15,Malaria,2.15807962529274,3.2679140127388533
2019-11-15,Mercy James,1.1379310344827587,1.7156862745098038
2019-11-15,Ward 6B,2.205737337516809,3.419095901985636
2019-11-15,uMoyo,1.924804177545692,2.0864338866628507
2019-11-16,Administration,2.281583909490886,5.2907692307692304
2019-11-16,Guardian Shelter,1.1200897662792608,1.4969340404375209
2019-11-16,Lighthouse Clinic,2.158210147822613,2.8695246971109043
2019-11-16,Lions Sight,3.0267379679144386,4.83970336565887
2019-11-16,Malaria,1.2556001784917448,3.199011124845488
2019-11-16,Mercy James,1.1582278481012658,1.5931034482758621
2019-11-16,Ward 6B,1.574336604870956,2.4663503019844693
2019-11-16,uMoyo,1.7928981937602626,4.6741405082212255
2019-11-17,Administration,1.9524003254678604,2.8067573135558304
2019-11-17,Guardian Shelter,1.1240709379998117,1.6949569495694956
2019-11-17,Lighthouse Clinic,1.8385529157667386,2.494472361809045
2019-11-17,Lions Sight,2.3017199017199017,3.568599717114569
2019-11-17,Malaria,1.3454245671887883,2.339602364320258
2019-11-17,Mercy James,1.1379310344827587,2.0793650793650795
2019-11-17,Ward 6B,1.8900774621910736,4.334552710342534
2019-11-17,uMoyo,1.9357249626307922,3.210526315789474
2019-11-18,Administration,1.8519968676585747,2.3717277486910997
2019-11-18,Guardian Shelter,1.1693752679371758,1.7824672469884815
2019-11-18,Lighthouse Clinic,1.4805729377334695,2.3301998722277997
2019-11-18,Lions Sight,2.016913319238901,3.598548972188634
2019-11-18,Malaria,1.4150090415913201,2.449130659321742
2019-11-18,Mercy James,1.5714285714285714,2.1659751037344397
2019-11-18,Ward 6B,1.9676840215439855,4.3603006189213085
2019-11-18,uMoyo,1.4282425172678435,2.623456790123457
2019-11-19,Administration,1.9097270818754375,3.0653800708940526
2019-11-19,Guardian Shelter,1.1235548289150998,1.697134566557853
2019-11-19,Lighthouse Clinic,1.4943066272700862,3.6335135135135133
2019-11-19,Lions Sight,1.9048804780876492,4.087264150943397
2019-11-19,Malaria,1.4657952069716775,2.0989606868504294
2019-11-19,Mercy James,1.2866666666666668,2.6284722222222223
2019-11-19,Ward 6B,2.0958448753462604,4.748655913978494
2019-11-19,uMoyo,1.7895055499495458,3.6564796905222434
2019-11-20,Administration,1.9264774313634248,4.360182370820669
2019-11-20,Guardian Shelter,1.1271372386669427,1.3626760563380282
2019-11-20,Lighthouse Clinic,1.7873337080756981,3.8673290473407365
2019-11-20,Lions Sight,3.019762845849802,3.762975778546713
2019-11-20,Malaria,1.509405568096313,2.460263604332507
2019-11-20,Mercy James,1.7409470752089138,2.430517711171662
2019-11-20,Ward 6B,2.0134724033029117,8.886524822695035
2019-11-20,uMoyo,1.3114527073812492,3.6684027777777777
2019-11-21,Administration,1.5696271929824561,3.2087082728592162
2019-11-21,Guardian Shelter,1.1224088013896931,1.7221858638743455
2019-11-21,Lighthouse Clinic,1.3527086882453152,4.5175695461200585
2019-11-21,Lions Sight,2.0939377389404696,3.846689895470383
2019-11-21,Malaria,1.5096646942800787,2.087813021702838
2019-11-21,Mercy James,1.6976744186046513,3.077519379844961
2019-11-21,Ward 6B,2.150287172941927,3.418867924528302
2019-11-21,uMoyo,1.3994616283203822,2.3225646123260435
2019-11-22,Administration,1.4187396351575454,2.6016448213826777
2019-11-22,Guardian Shelter,1.1163132678715433,1.8276598992520225
2019-11-22,Lighthouse Clinic,1.4078915516824013,3.722972972972973
2019-11-22,Lions Sight,2.2557883131201764,3.6756481952211493
2019-11-22,Malaria,1.4352574102964117,2.127373417721519
2019-11-22,Mercy James,1.6231155778894473,2.421319796954315
2019-11-22,Ward 6B,1.8036187113857016,4.177746346063177
2019-11-22,uMoyo,1.4618585298196949,4.452887537993921
2019-11-23,Administration,1.4087045405638046,3.321525885558583
2019-11-23,Guardian Shelter,1.113045618136516,1.5192061459667094
2019-11-23,Lighthouse Clinic,1.6497898007676841,3.116045914660725
2019-11-23,Lions Sight,2.495031055900621,3.9179784589892295
2019-11-23,Malaria,1.1853813559322035,4.108387096774194
2019-11-23,Mercy James,1.517241379310345,2.3483412322274884
2019-11-23,Ward 6B,1.3745576091230831,2.451849836779108
2019-11-23,uMoyo,1.8054697838553153,4.183827806864456
2019-11-24,Administration,1.8014824363519173,3.925840092699884
2019-11-24,Guardian Shelter,1.1204305736165294,2.073231456043956
2019-11-24,Lighthouse Clinic,1.5656373986544765,2.901670146137787
2019-11-24,Lions Sight,1.7576923076923077,3.487309644670051
2019-11-24,Malaria,1.1778507742843736,1.321119944694089
2019-11-24,Mercy James,1.5258855585831061,2.31740614334471
2019-11-24,Ward 6B,1.18944099378882,2.1039124192390526
2019-11-24,uMoyo,1.935349148012028,3.716267339218159
